Hour	Minute	Species
21	16	Proc_cap
17	5	Aep_mel
17	34	Aep_mel
19	55	Gen_gen
22	40	Hys_afr
22	45	Hys_afr
0	8	Aeth_nama
0	43	Aeth_nama
1	16	Aeth_nama
1	39	Aeth_nama
4	22	Gen_gen
21	29	Aep_mel
21	30	Aep_mel
21	45	Aep_mel
21	45	Aep_mel
21	46	Aep_mel
22	15	Aep_mel
1	10	Lep_sax
1	17	Lep_sax
2	33	Lep_sax
5	11	Lep_sax
6	24	Lep_sax
22	7	Aeth_nama
22	30	Aeth_nama
2	13	Aeth_nama
4	10	Aeth_nama
19	34	Syl_grim
21	7	Hys_afr
18	4	Aep_mel
18	15	Aep_mel
21	31	Lep_sax
0	6	Aep_mel
21	12	Hys_afr
21	44	Hys_afr
22	11	Can_mes
6	51	Aep_mel
23	11	Lep_sax
19	38	Lep_sax
18	12	Aep_mel
5	56	Lep_sax
7	23	Aep_mel
7	30	Aep_mel
8	1	Aep_mel
1	42	Lep_sax
23	35	Aep_mel
1	56	Lep_sax
2	9	Lep_sax
5	50	Syl_grim
20	47	Aeth_nama
22	35	Aeth_nama
23	2	Aeth_nama
0	13	Aeth_nama
2	23	Lep_sax
7	54	Aep_mel
21	10	Aeth_nama
22	41	Aeth_nama
23	18	Aeth_nama
23	36	Aeth_nama
3	3	Aeth_nama
5	14	Lep_sax
23	29	Lep_sax
23	12	Hys_afr
5	17	Lep_sax
5	52	Herp_pulv
5	53	Syl_grim
6	2	Syl_grim
19	37	Syl_grim
21	5	Lep_sax
17	45	Lep_sax
20	24	Syl_grim
23	7	Lep_sax
20	34	Gen_gen
21	51	Syl_grim
0	46	Syl_grim
3	51	Ich_albi
18	7	Lep_sax
18	49	Lep_sax
18	38	Syl_grim
6	32	Lep_sax
20	38	Hys_afr
21	25	Hys_afr
1	30	Lept_serv
5	52	Aep_mel
6	3	Aep_mel
6	25	Aep_mel
0	28	Hys_afr
3	5	Lep_sax
6	12	Aep_mel
6	16	Aep_mel
6	32	Aep_mel
19	1	Syl_grim
4	57	Proc_cap
12	19	Gal_san
3	50	Syl_grim
4	7	Syl_grim
4	49	Syl_grim
4	39	Lep_sax
5	40	Aep_mel
6	1	Aep_mel
7	40	Aep_mel
5	42	Proc_cap
20	32	Hys_afr
1	55	Hys_afr
2	29	Hys_afr
4	34	Ich_albi
23	49	Hys_afr
19	31	Syl_grim
22	34	Hys_afr
1	20	Ich_albi
1	24	Hys_afr
2	33	Hys_afr
2	53	Hys_afr
18	21	Lep_sax
20	35	Hys_afr
2	43	Hys_afr
4	45	Aep_mel
5	9	Syl_grim
5	26	Aep_mel
17	51	Cyn_pen
12	41	Herp_pulv
21	29	Proc_cap
21	29	Hys_afr
2	57	Hys_afr
22	20	Hys_afr
0	32	Hys_afr
4	45	Lep_sax
18	22	Lep_sax
7	33	Proc_cap
5	46	Lep_sax
4	23	Lept_serv
0	9	Lep_sax
5	8	Lep_sax
21	58	Hys_afr
22	1	Hys_afr
5	40	Syl_grim
6	39	Aep_mel
22	30	Syl_grim
23	2	Hys_afr
23	44	Hys_afr
2	7	Lept_serv
7	48	Herp_pulv
2	23	Gen_gen
8	25	Red_aru
8	31	Gal_san
23	32	Gen_gen
1	9	Gen_gen
2	44	Gen_gen
4	50	Hys_afr
5	11	Gen_gen
20	35	Hys_afr
23	57	Hys_afr
1	6	Hys_afr
1	16	Hys_afr
1	30	Hys_afr
2	26	Hys_afr
4	10	Gen_gen
6	18	Aep_mel
7	30	Aep_mel
23	25	Lep_sax
5	26	Syl_grim
6	21	Herp_pulv
20	8	Hys_afr
4	8	Hys_afr
7	13	Herp_pulv
19	59	Gen_gen
21	51	Gen_gen
0	24	Hys_afr
0	30	Hys_afr
4	56	Hys_afr
